- Shiny -------------------------------------------------------------------------------------------------------------------------
# -1: CreateBoxMon,GetMonSpritePalFromSpeciesAndPersonality,GetMonSpritePalStructFromOtIdPersonality,IsShinyOtIdPersonality,sub_8172EF0
#  0: apparently used for pokedex pokemon palette choosing, although I can't find the function in pokefirered
AXVE0.scripts.shiny.odds-1 03A8A2,040968,0409DE,040CF4,14187A  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
AXVE1.scripts.shiny.odds-1 03A8A2,040988,0409FE,040D14,14189A  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
AXPE0.scripts.shiny.odds-1 03A8A2,040968,0409DE,040CF4,14187A  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
AXPE1.scripts.shiny.odds-1 03A8A2,040988,0409FE,040D14,14189A  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPRE0.scripts.shiny.odds   104A24                              # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPRE0.scripts.shiny.odds-1 03DB5E,044120,044196,0444B0,0F1776  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPRE1.scripts.shiny.odds   104A9C                              # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPRE1.scripts.shiny.odds-1 03DB72,044134,0441AA,0444C4,0F17EE  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPGE0.scripts.shiny.odds   1049FC                              # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPGE0.scripts.shiny.odds-1 03DB5E,044120,044196,0444B0,0F174E  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPGE1.scripts.shiny.odds   104A74                              # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPGE1.scripts.shiny.odds-1 03DB72,044134,0441AA,0444C4,0F17C6  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.

# additional shiny constants found by AGSMG?, used in credits
BPRE0.scripts.shiny.odds   0F41DA,0F4218,0F4258,0F42A0
BPEE0.data.trainers.gym.leader.battles.needed.rematch1 0B1220 # After this many  wild battles, there is a 31% chance of a gym leader rematch becoming available.
BPEE0.data.trainers.gym.leader.battles.needed.rematch2 0B123C # After this many trainer battles, there is a 31% chance of a gym leader rematch becoming available.
BPEE0.data.trainers.gym.leader.battles.needed.rematch3 163A10 # After this many battle-frontier battles, there is a 31% chance of a gym leader rematch becoming available.

# evolution methods limiter
AXVE0.scripts.evolution.count-1  03F574
AXPE0.scripts.evolution.count-1  03F574
AXVE1.scripts.evolution.count-1  03F574
AXPE1.scripts.evolution.count-1  03F574
BPRE0.scripts.evolution.count-1  042FAA
BPGE0.scripts.evolution.count-1  042FAA
BPRE1.scripts.evolution.count-1  042FBE
BPGE1.scripts.evolution.count-1  042FBE
BPEE0.scripts.evolution.count-1  06D180

# item count limiter
BPRE0:data.items.count 098998,09B3D0,10864C,10DA14,13D428
BPGE0:data.items.count 09896C,09B3A4,108624,10D9EC,13D400
BPRE1:data.items.count 0989AC,09B3E4,1086C4,10DA8C,13D4A0
BPGE1:data.items.count 098980,09B3B8,10869C,10DA64,13D478
BPEE0:data.items.count 1B0014

# data.abilities.pickup.items limiter
BPRE0.data.abilities.pickup.length-2 02CEEC
BPGE0.data.abilities.pickup.length-2 02CEEC
BPRE1.data.abilities.pickup.length-2 02CF00
BPGE1.data.abilities.pickup.length-2 02CF00

# data.maps.heal.map limiter
AXVE0.data.maps.heal.length-1        0FA898
AXVE0.data.maps.heal.length          0FA8D2
AXPE0.data.maps.heal.length-1        0FA898
AXPE0.data.maps.heal.length          0FA8D2
AXVE1.data.maps.heal.length-1        0FA8B8
AXVE1.data.maps.heal.length          0FA8F2
AXPE1.data.maps.heal.length-1        0FA8B8
AXPE1.data.maps.heal.length          0FA8F2
BPRE0.data.maps.heal.length-1        0BFC7C
BPRE0.data.maps.heal.length          0BFCB6
BPGE0.data.maps.heal.length-1        0BFC50
BPGE0.data.maps.heal.length          0BFC8A
BPRE1.data.maps.heal.length-1        0BFC90
BPRE1.data.maps.heal.length          0BFCCA
BPGE1.data.maps.heal.length-1        0BFC64
BPGE1.data.maps.heal.length          0BFC9E
BPEE0.data.maps.heal.length-1        122C88
BPEE0.data.maps.heal.length          122CC2

# maximum flash level
BPEE0.scripts.moves.flash.maxlevel-1 54FE78
AXVE0.scripts.moves.flash.maxlevel-1 39ACE8
AXPE0.scripts.moves.flash.maxlevel-1 39AB30
AXVE1.scripts.moves.flash.maxlevel-1 39AD00
AXPE1.scripts.moves.flash.maxlevel-1 39AB48
BPRE0.scripts.moves.flash.maxlevel-1 3C68E0
BPGE0.scripts.moves.flash.maxlevel-1 3C671C
BPRE1.scripts.moves.flash.maxlevel-1 3C6950
BPGE1.scripts.moves.flash.maxlevel-1 3C678C

# number of balls in the safari zone
AXVE0.scripts.games.safari.balls.count 0C81CA
AXPE0.scripts.games.safari.balls.count 0C81CA
AXVE1.scripts.games.safari.balls.count 0C81EA
AXPE1.scripts.games.safari.balls.count 0C81EA
BPRE0.scripts.games.safari.balls.count 0A0ED2
BPGE0.scripts.games.safari.balls.count 0A0EA6
BPRE1.scripts.games.safari.balls.count 0A0EE6
BPGE1.scripts.games.safari.balls.count 0A0EBA
BPEE0.scripts.games.safari.balls.count 0FC0E6

# overworld table limiters (credit to phoenixbound)
AXVE0.graphics.overworld.tablelength-1 05BC28
AXPE0.graphics.overworld.tablelength-1 05BC2C
AXVE1.graphics.overworld.tablelength-1 05BC48
AXPE1.graphics.overworld.tablelength-1 05BC4C
BPRE0.graphics.overworld.tablelength-1 05F2E0
BPRE1.graphics.overworld.tablelength-1 05F2F4
BPGE0.graphics.overworld.tablelength-1 05F2E0
BPGE1.graphics.overworld.tablelength-1 05F2F4
BPEE0.graphics.overworld.tablelength-1 08E6C4

# firstpersonview table length
BPRE0.graphics.firstpersonview.count-1 0F8104
BPGE0.graphics.firstpersonview.count-1 0F80DC
BPRE1.graphics.firstpersonview.count-1 0F817C
BPGE1.graphics.firstpersonview.count-1 0F8154
BPRE0.graphics.firstpersonview.count   0F8108,0F8126,0F81AC,0F8552,0F857A
BPGE0.graphics.firstpersonview.count   0F80E0,0F80FE,0F8184,0F852A,0F8552
BPRE1.graphics.firstpersonview.count   0F8180,0F819E,0F8224,0F85CA,0F85F2
BPGE1.graphics.firstpersonview.count   0F8158,0F8176,0F81FC,0F85A2,0F85CA

BPRE0.data.items.teachy.count          479374
BPGE0.data.items.teachy.count          478C50
BPRE1.data.items.teachy.count          4793D4
BPGE1.data.items.teachy.count          478CC0

# not really sure about this...
BPRE0.scripts.seagallop.count-1 147148
BPGE0.scripts.seagallop.count-1 147124
BPRE1.scripts.seagallop.count-1 1471C0
BPGE1.scripts.seagallop.count-1 14719C

